window,outcome,xset,term,beta,se,p,n,r2_within
w3_5,elec_access,aidtype,share_aidtype_budget_support,-1.6865255329199706,1.7814177098491715,0.343842529152824,3575,0.40885824822969863
w3_5,elec_access,aidtype,share_aidtype_project,-0.560240777478095,1.460612609918458,0.7013244096084383,3575,0.40885824822969863
w3_5,elec_access,aidtype,share_aidtype_pooled_earmarked,2.208623678104008,9.732079323772618,0.82048199627015,3575,0.40885824822969863
w3_5,elec_access,aidtype,share_aidtype_ngo_core,-14.595082180343605,28.842862722224034,0.6128750072777047,3575,0.40885824822969863
w3_5,elec_access,aidtype,share_aidtype_scholarships_students,-8.491483427005024,7.1817271761087556,0.23714023888900315,3575,0.40885824822969863
w3_5,elec_access,aidtype,share_aidtype_admin_refugee_awareness,-57.12467374227883,27.6547839153465,0.03893861663206932,3575,0.40885824822969863
w3_5,elec_access,channel,share_channel_public_recipient,0.7718885874152512,4.500032546311287,0.863817593720235,3575,0.36569590106081495
w3_5,elec_access,channel,share_channel_public_donor,-6.7959146060639855,6.691162532743222,0.3098657923058892,3575,0.36569590106081495
w3_5,elec_access,channel,share_channel_ngo,-2.732621165917973,9.364457782147367,0.7704514268745855,3575,0.36569590106081495
w3_5,elec_access,channel,share_channel_multilateral,-6.933716267518233,4.799077323999286,0.14860561977465037,3575,0.36569590106081495
w3_5,elec_access,channel,share_channel_private_recipient,-18.878911036135456,7.551077981446424,0.012460402078209754,3575,0.36569590106081495
w3_5,elec_access,finance,share_finance_grant,0.06269649202689259,2.1727360381863945,0.9769811213122026,3575,0.43860677932668357
w3_5,elec_access,finance,share_finance_loan,5.545334645599284,2.578949877739815,0.0316072577944575,3575,0.43860677932668357
w3_5,elec_access,extra,share_tc_usd_irtc,-2.223148420020513,13.10879815959036,0.8653410215885844,3575,0.44238240859708744
w3_5,elec_access,extra,share_untied,-0.6371164355075108,1.0772001212195363,0.5542542150948138,3575,0.44238240859708744
w6_10,log_gdppc,aidtype,share_aidtype_technical_cooperation,-0.5269919858554301,0.2753457795910948,0.055725310105294135,3143,-0.04007144719907951
