window,outcome,term,beta,se,p,n
w1_2,tax_gdp,share_aidtype_ngo_core,2.855632733093819,22.587948083976425,0.8994103718055815,2077
w1_2,tax_gdp,share_aidtype_scholarships_students,-14.1812672781017,12.075864495386824,0.2404003944596806,2077
w1_2,tax_gdp,share_aidtype_admin_refugee_awareness,-42.933727002690375,34.41823519560422,0.2123975721818256,2077
w1_2,elec_access,share_aidtype_technical_cooperation,7.127370080569575,11.855334830652916,0.5477486338229793,3704
w1_2,elec_access,share_aidtype_budget_support,0.8342715999040035,1.8912626657713425,0.6591540004625531,3704
w1_2,elec_access,share_aidtype_project,-0.5836769067281772,1.4734410263744817,0.6920317318004208,3704
w1_2,elec_access,share_aidtype_pooled_earmarked,4.463485821751941,11.015407383424929,0.685352227952075,3704
w1_2,elec_access,share_aidtype_ngo_core,-31.171004135883823,20.361779757579228,0.1258940426987513,3704
w1_2,elec_access,share_aidtype_scholarships_students,-8.474498539284818,6.689081853380575,0.2052693142412711,3704
w1_2,elec_access,share_aidtype_admin_refugee_awareness,-56.40180864783484,27.59774807605842,0.0410562913247827,3704
w3_5,log_gdppc,share_aidtype_technical_cooperation,-0.2030799883815056,0.1773471509876042,0.2522497668546146,3538
w3_5,log_gdppc,share_aidtype_budget_support,-0.0672926540164928,0.0545162086784667,0.2171548499241526,3538
w3_5,log_gdppc,share_aidtype_project,0.0302917344459787,0.0397724618736637,0.4463367569566385,3538
w3_5,log_gdppc,share_aidtype_pooled_earmarked,-0.3706543736334606,0.1892854103280947,0.0502917823985289,3538
w3_5,log_gdppc,share_aidtype_ngo_core,-0.9647678333016833,0.5378458997010647,0.0729408820796637,3538
w3_5,log_gdppc,share_aidtype_scholarships_students,-0.2280621999620499,0.2151189615099105,0.2891443927994539,3538
w3_5,log_gdppc,share_aidtype_admin_refugee_awareness,-2.585335730342717,0.5565210233705732,3.5220623235687758e-06,3538
w3_5,gfcf_gdp,share_aidtype_technical_cooperation,-0.6380903019990157,7.613968070419988,0.9332173873572942,2913
w3_5,gfcf_gdp,share_aidtype_budget_support,-2.5455963886635478,1.9298197093272256,0.1872503736324609,2913
w3_5,gfcf_gdp,share_aidtype_project,-1.7564646074679744,1.8175366034069456,0.3339297105158021,2913
w3_5,gfcf_gdp,share_aidtype_pooled_earmarked,-9.413911580506443,7.004223796300287,0.1790482952738818,2913
w3_5,gfcf_gdp,share_aidtype_ngo_core,16.082260439490575,18.857157378888463,0.3938186306486817,2913
w3_5,gfcf_gdp,share_aidtype_scholarships_students,0.0581389258818863,6.971658584395192,0.9933468627801534,2913
w3_5,gfcf_gdp,share_aidtype_admin_refugee_awareness,-20.56562134550891,24.63850238971044,0.4039621886394164,2913
